Complexity metrics,Tue, 9 Jan 2018 17:53:56 EST
Method,ev(G),iv(G),v(G)
"it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend.WaitingToSendListElement.WaitingToSendListElement()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend.WaitingToSendListElement.getWaitingToSendList()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend.WaitingToSendQueue.WaitingToSendQueue()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend.WaitingToSendQueue.getInstance()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend.WaitingToSendQueue.getWaitingToSendItemsList(int)",1,4,4
"it.polimi.deib.p2pchat.discovery.model.LocalP2PDevice.LocalP2PDevice()",1,1,1
"it.polimi.deib.p2pchat.discovery.model.LocalP2PDevice.getInstance()",1,1,1
"it.polimi.deib.p2pchat.discovery.model.LocalP2PDevice.getLocalDevice()",1,1,1
"it.polimi.deib.p2pchat.discovery.model.LocalP2PDevice.setLocalDevice(WifiP2pDevice)",1,1,1
"it.polimi.deib.p2pchat.discovery.model.P2pDestinationDevice.P2pDestinationDevice()",1,1,1
"it.polimi.deib.p2pchat.discovery.model.P2pDestinationDevice.P2pDestinationDevice(WifiP2pDevice)",1,1,1
"it.polimi.deib.p2pchat.discovery.model.P2pDestinationDevice.getDestinationIpAddress()",1,1,1
"it.polimi.deib.p2pchat.discovery.model.P2pDestinationDevice.getP2pDevice()",1,1,1
"it.polimi.deib.p2pchat.discovery.model.P2pDestinationDevice.setDestinationIpAddress(String)",1,1,1
"it.polimi.deib.p2pchat.discovery.model.P2pDestinationDevice.setP2pDevice(WifiP2pDevice)",1,1,1
"it.polimi.deib.p2pchat.discovery.model.P2pDestinationDevice.toString()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.ServiceList.ServiceList()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.ServiceList.addServiceIfNotPresent(WiFiP2pService)",2,4,6
"it.polimi.deib.p2pchat.discovery.services.ServiceList.clear()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.ServiceList.getElementByPosition(int)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.ServiceList.getInstance()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.ServiceList.getServiceByDevice(WifiP2pDevice)",4,2,4
"it.polimi.deib.p2pchat.discovery.services.ServiceList.getSize()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pService.getDevice()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pService.getInstanceName()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pService.getServiceRegistrationType()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pService.setDevice(WifiP2pDevice)",1,1,1
